displ,fuelType,VClass,engId
5.0,Regular,Standard Pickup Trucks,3802
5.0,Regular,Standard Pickup Trucks,3801
5.8,Regular,Standard Pickup Trucks,3904
4.9,Regular,Standard Pickup Trucks,3707
4.9,Regular,Standard Pickup Trucks,3705
4.9,Regular,Standard Pickup Trucks,3703
5.0,Regular,Standard Pickup Trucks,3808
5.0,Regular,Standard Pickup Trucks,3803
5.0,Regular,Standard Pickup Trucks,3800
5.8,Regular,Standard Pickup Trucks,3905
2.3,Regular,Standard Pickup Trucks,3600
2.3,Regular,Standard Pickup Trucks,3601
3.0,Regular,Standard Pickup Trucks,3623
3.0,Regular,Standard Pickup Trucks,3625
4.0,Regular,Standard Pickup Trucks,3662
4.0,Regular,Standard Pickup Trucks,3661
1.5,Regular,Subcompact Cars,49010
1.9,Regular,Vans,59015
2.2,Regular,Standard Pickup Trucks,56082
2.2,Regular,Standard Pickup Trucks,56083
2.6,Regular,Standard Pickup Trucks,56087
2.4,Regular,Standard Pickup Trucks,57013
2.5,Regular,Special Purpose Vehicle 2WD,9580
3.0,Regular,Standard Pickup Trucks,57014
4.3,Regular,Standard Pickup Trucks,4943
4.3,Regular,Standard Pickup Trucks,4944
4.3,Regular,Standard Pickup Trucks,4940
5.0,Regular,Standard Pickup Trucks,4951
5.0,Regular,Standard Pickup Trucks,4852
5.7,Regular,Standard Pickup Trucks,4962
4.2,Regular,Special Purpose Vehicle 2WD,9590
5.7,Regular,Standard Pickup Trucks,4960
5.7,Regular,Standard Pickup Trucks,4961
6.2,Diesel,Standard Pickup Trucks,4971
5.0,Regular,Special Purpose Vehicle 2WD,4860
4.3,Regular,Standard Pickup Trucks,4945
2.4,Regular,Standard Pickup Trucks,38082
3.0,Regular,Standard Pickup Trucks,38091
3.9,Regular,Standard Pickup Trucks,2950
5.2,Regular,Standard Pickup Trucks,2970
5.7,Regular,Special Purpose Vehicle 2WD,4870
2.4,Regular,Standard Pickup Trucks,49092
5.9,Regular,Standard Pickup Trucks,2980
6.2,Diesel,Special Purpose Vehicle 2WD,4883
2.5,Regular,Standard Pickup Trucks,2822
4.0,Regular,Standard Pickup Trucks,2860
4.9,Regular,Standard Pickup Trucks,3741
4.9,Regular,Standard Pickup Trucks,3740
4.9,Regular,Standard Pickup Trucks,3742
5.0,Regular,Standard Pickup Trucks,3844
2.5,Regular,Special Purpose Vehicle 2WD,4808
5.0,Regular,Standard Pickup Trucks,3842
5.0,Regular,Standard Pickup Trucks,3843
5.0,Regular,Standard Pickup Trucks,3840
5.8,Regular,Standard Pickup Trucks,3903
2.3,Regular,Standard Pickup Trucks,3610
3.0,Regular,Standard Pickup Trucks,3653
3.0,Regular,Standard Pickup Trucks,3652
4.0,Regular,Standard Pickup Trucks,3682
4.0,Regular,Standard Pickup Trucks,3681
2.5,Regular,Special Purpose Vehicle 2WD,4807
4.3,Premium,Standard Pickup Trucks,4941
2.8,Regular,Special Purpose Vehicle 2WD,4831
2.6,Regular,Standard Pickup Trucks,29084
3.1,Regular,Standard Pickup Trucks,29087
3.0,Regular,Standard Pickup Trucks,49095
2.8,Regular,Special Purpose Vehicle 2WD,4838
4.3,Premium,Vans,4941
4.3,Premium,Vans,4841
4.3,Regular,Vans,4942
5.0,Regular,Vans,4850
5.7,Regular,Vans,4862
2.8,Regular,Special Purpose Vehicle 2WD,4836
3.9,Regular,Vans,2850
5.2,Regular,Vans,2870
5.9,Regular,Vans,2880
3.0,Regular,Vans,3622
5.2,Regular,Special Purpose Vehicle 2WD,2850
3.0,Regular,Vans,3624
4.0,Regular,Vans,3663
4.0,Regular,Vans,3684
4.9,Regular,Vans,3708
5.0,Regular,Vans,3807
5.0,Regular,Vans,3805
5.8,Regular,Vans,3906
4.9,Regular,Vans,3709
4.9,Regular,Vans,3701
5.2,Regular,Special Purpose Vehicle 2WD,2854
5.8,Regular,Vans,3900
5.9,Regular,Special Purpose Vehicle 2WD,2890
3.0,Regular,Vans,3621
3.0,Regular,Vans,3620
4.0,Regular,Vans,3664
4.0,Regular,Vans,3685
5.0,Regular,Vans,3908
2.2,Regular,Special Purpose Vehicle 2WD,2814
5.0,Regular,Vans,3907
5.8,Regular,Vans,3901
2.4,Regular,Vans,57012
2.2,Regular,Special Purpose Vehicle 2WD,2810
2.5,Regular,Vans,59002
3.1,Regular,Special Purpose Vehicles,4820
3.8,Regular,Special Purpose Vehicles,4830
5.7,Regular,Special Purpose Vehicles,4862
4.3,Premium,Special Purpose Vehicles,4841
4.3,Regular,Special Purpose Vehicles,4842
3.0,Regular,Special Purpose Vehicles,38095
2.2,Regular,Special Purpose Vehicle 2WD,2811
3.0,Regular,Special Purpose Vehicles,38094
3.3,Regular,Special Purpose Vehicles,2840
2.5,Regular,Special Purpose Vehicles,2820
3.0,Regular,Special Purpose Vehicles,2830
5.2,Regular,Special Purpose Vehicles,2870
5.9,Regular,Special Purpose Vehicles,2880
2.5,Regular,Special Purpose Vehicles,2822
4.0,Regular,Special Purpose Vehicles,2860
4.0,Regular,Special Purpose Vehicles,3665
4.0,Regular,Special Purpose Vehicles,3660
3.0,Regular,Special Purpose Vehicles,3651
3.0,Regular,Special Purpose Vehicles,3650
1.6,Regular,Special Purpose Vehicles,54082
2.3,Regular,Special Purpose Vehicles,29081
2.6,Regular,Special Purpose Vehicles,29083
2.6,Regular,Special Purpose Vehicles,29086
2.6,Regular,Special Purpose Vehicles,56087
2.2,Regular,Special Purpose Vehicle 2WD,2816
3.0,Regular,Special Purpose Vehicles,56088
1.3,Regular,Special Purpose Vehicles,54081
1.6,Regular,Special Purpose Vehicles,54084
1.6,Regular,Special Purpose Vehicles,54083
2.6,Regular,Special Purpose Vehicle 2WD,2840
3.0,Regular,Special Purpose Vehicles,57014
5.7,Regular,Special Purpose Vehicles,4962
5.7,Regular,Special Purpose Vehicles,4960
4.3,Premium,Special Purpose Vehicles,4941
4.3,Regular,Special Purpose Vehicles,4945
4.1,Regular,Special Purpose Vehicles,21480
3.0,Regular,Special Purpose Vehicles,38093
3.3,Regular,Special Purpose Vehicles,2940
5.2,Regular,Special Purpose Vehicles,2970
5.9,Regular,Special Purpose Vehicles,2980
2.5,Regular,Special Purpose Vehicles,2921
4.0,Regular,Special Purpose Vehicles,2961
4.0,Regular,Special Purpose Vehicles,2960
5.0,Regular,Special Purpose Vehicles,3845
5.0,Regular,Special Purpose Vehicles,3841
5.8,Regular,Special Purpose Vehicles,3902
4.0,Regular,Special Purpose Vehicles,3683
4.0,Regular,Special Purpose Vehicles,3680
2.6,Regular,Special Purpose Vehicles,29085
3.2,Regular,Special Purpose Vehicles,29095
3.2,Regular,Special Purpose Vehicles,29094
3.9,Premium,Special Purpose Vehicles,46081
3.9,Premium,Special Purpose Vehicles,46082
4.3,Premium,Special Purpose Vehicles,46091
3.0,Regular,Special Purpose Vehicles,49097
4.0,Regular,Special Purpose Vehicles,56090
4.3,Premium,Special Purpose Vehicles,43101
1.8,Regular,Special Purpose Vehicles,66090
1.6,Premium,Subcompact Cars,49021
4.5,Regular,Special Purpose Vehicles,57015
2.4,Regular,Special Purpose Vehicles,57013
4.9,Premium,Special Purpose Vehicles,4660
5.7,Regular,Special Purpose Vehicles,4105
2.5,Regular,Special Purpose Vehicles,4803
3.9,Regular,Special Purpose Vehicles,2850
3.0,Premium,Two Seaters,26061
2.0,Premium,Two Seaters,9003
5.7,Premium,Two Seaters,4102
5.7,Premium,Two Seaters,4105
